alpha,Re,Cl,Cd,Cm,Cl_alpha
-15,0.2,-0.530865,0.16023,0.0052,0.692533
-15,0.4,-1.11671,0.04864,-0.051,8.53306
-15,0.5,-1.15939,0.04243,-0.0513,7.55676
-15,0.6,-1.19851,0.03739,-0.0509,7.34663
-15,0.8,-1.2505,0.03119,-0.0489,5.73923
-15,1,-1.27456,0.02801,-0.0471,3.90654
-15,1.2,-1.30142,0.02548,-0.045,3.20507
-15,1.4,-1.32266,0.02369,-0.0431,2.68822
-15,1.6,-1.33924,0.0224,-0.0415,2.28187
-15,1.8,-1.35176,0.02147,-0.0401,1.84262
-15,2,-1.36139,0.02079,-0.039,1.43871
-15,2.2,-1.37,0.02026,-0.0382,1.3357
-15,2.4,-1.37916,0.01964,-0.0371,1.42515
-14.8,0.2,-0.533912,0.15658,0.0035,-2.32168
-14.8,0.4,-1.09086,0.04621,-0.0515,6.35193
-14.8,0.5,-1.13633,0.0404,-0.0513,5.71794
-14.8,0.6,-1.17588,0.03584,-0.0505,5.68108
-14.8,0.8,-1.23244,0.02996,-0.0482,4.65309
-14.8,1,-1.26195,0.02709,-0.0462,3.34759
-14.8,1.2,-1.29069,0.02472,-0.044,2.95789
-14.8,1.4,-1.31331,0.02304,-0.042,2.67875
-14.8,1.6,-1.33097,0.0218,-0.0403,2.45909
-14.8,1.8,-1.34469,0.02089,-0.0389,2.20531
-14.8,2,-1.35543,0.02021,-0.0377,1.96716
-14.8,2.2,-1.36427,0.01971,-0.0368,1.93438
-14.8,2.4,-1.37307,0.01919,-0.0358,2.05262
-14.6,0.2,-0.546311,0.15271,0.0018,-4.68011
-14.6,0.4,-1.07189,0.04404,-0.0517,4.57835
-14.6,0.5,-1.11905,0.03855,-0.0512,4.23475
-14.6,0.6,-1.15847,0.03441,-0.0501,4.34215
-14.6,0.8,-1.21775,0.02886,-0.0473,3.79886
-14.6,1,-1.25102,0.02623,-0.0453,2.93698
-14.6,1.2,-1.28066,0.02401,-0.043,2.80225
-14.6,1.4,-1.3039,0.02242,-0.0409,2.71763
-14.6,1.6,-1.32206,0.02124,-0.0391,2.65048
-14.6,1.8,-1.33639,0.02036,-0.0377,2.5472
-14.6,2,-1.34771,0.01969,-0.0364,2.44294
-14.6,2.2,-1.35657,0.01918,-0.0354,2.46618
-14.6,2.4,-1.36492,0.01876,-0.0346,2.60477
-14.4,0.2,-0.565919,0.14862,0,-6.46548
-14.4,0.4,-1.05848,0.0421,-0.0518,3.16333
-14.4,0.5,-1.1064,0.03687,-0.0508,3.06369
-14.4,0.6,-1.14523,0.03308,-0.0495,3.2895
-14.4,0.8,-1.20568,0.02788,-0.0464,3.14684
-14.4,1,-1.2413,0.02543,-0.0442,2.65433
-14.4,1.2,-1.27104,0.02333,-0.0418,2.72472
-14.4,1.4,-1.29429,0.02184,-0.0397,2.79664
-14.4,1.6,-1.31246,0.02072,-0.0379,2.85197
-14.4,1.8,-1.32693,0.01987,-0.0364,2.86863
