delta,alpha,Re,Cl,Cd,Cm,Cl_alpha
0,-15,0.2,-0.982475,0.05082,-0.0755,12.3457
0,-15,0.4,-1.0446,0.03798,-0.0724,6.32607
0,-15,0.6,-1.08055,0.03185,-0.0697,-0.19797
0,-15,0.8,-1.11514,0.02821,-0.0672,-3.5842
0,-15,1,-1.14269,0.02562,-0.0647,-5.62805
0,-15,1.2,-1.16764,0.02393,-0.0626,-6.41285
0,-15,1.4,-1.18759,0.02275,-0.0609,-6.59677
0,-15,1.6,-1.20903,0.02167,-0.0591,-5.90406
0,-15,1.8,-1.22358,0.02084,-0.0576,-5.89552
0,-15,2,-1.23962,0.02017,-0.0562,-4.70796
0,-15,2.2,-1.25016,0.01963,-0.0549,-4.24248
0,-15,2.4,-1.2578,0.01919,-0.0538,-3.83398
0,-15,2.6,-1.26452,0.01875,-0.0527,-3.24636
0,-15,3.2,-1.27479,0.01758,-0.0532,-2.22256
0,-14.8,0.2,-0.945708,0.04899,-0.0752,8.83458
0,-14.8,0.4,-1.02574,0.03671,-0.0717,4.54267
0,-14.8,0.6,-1.08113,0.03085,-0.0687,-0.12311
0,-14.8,0.8,-1.12551,0.02728,-0.0659,-2.38101
0,-14.8,1,-1.15879,0.02489,-0.0633,-3.64193
0,-14.8,1.2,-1.18569,0.02325,-0.0611,-3.98924
0,-14.8,1.4,-1.20584,0.02217,-0.0593,-3.93135
0,-14.8,1.6,-1.22481,0.02113,-0.0574,-3.20914
0,-14.8,1.8,-1.2391,0.02032,-0.0558,-3.07235
0,-14.8,2,-1.25128,0.01968,-0.0543,-2.04749
0,-14.8,2.2,-1.26019,0.01915,-0.0529,-1.58473
0,-14.8,2.4,-1.26645,0.01872,-0.0517,-1.19843
0,-14.8,2.6,-1.27127,0.0183,-0.0521,-0.694213
0,-14.8,3.2,-1.27821,0.01715,-0.0534,0.187848
0,-14.6,0.2,-0.920047,0.04723,-0.0747,5.9691
0,-14.6,0.4,-1.01244,0.0355,-0.0708,3.13676
0,-14.6,0.6,-1.08131,0.0299,-0.0676,0.0303382
0,-14.6,0.8,-1.13189,0.0264,-0.0645,-1.29209
0,-14.6,1,-1.16841,0.0242,-0.0618,-1.91089
0,-14.6,1.2,-1.19589,0.02262,-0.0594,-1.90605
0,-14.6,1.4,-1.21549,0.02155,-0.0575,-1.65856
0,-14.6,1.6,-1.23192,0.02062,-0.0556,-0.92721
0,-14.6,1.8,-1.24554,0.01984,-0.0538,-0.690923
0,-14.6,2,-1.25441,0.01922,-0.0522,0.186064
0,-14.6,2.2,-1.26173,0.01869,-0.0511,0.638064
0,-14.6,2.4,-1.26668,0.01822,-0.0518,0.998716
0,-14.6,2.6,-1.26987,0.01781,-0.0524,1.42735
0,-14.6,3.2,-1.27396,0.01674,-0.0537,2.17929
0,-14.4,0.2,-0.903375,0.04555,-0.074,3.67208
0,-14.4,0.4,-1.00346,0.03436,-0.0699,2.06103
0,-14.4,0.6,-1.08084,0.029,-0.0664,0.248748
0,-14.4,0.8,-1.13465,0.02562,-0.063,-0.308669
0,-14.4,1,-1.1724,0.02356,-0.0602,-0.409347
0,-14.4,1.2,-1.19935,0.02204,-0.0577,-0.127201
0,-14.4,1.4,-1.21783,0.02098,-0.0556,0.264393
0,-14.4,1.6,-1.23171,0.02015,-0.0537,0.987823
0,-14.4,1.8,-1.24438,0.01939,-0.0518,1.2985
0,-14.4,2,-1.25042,0.01877,-0.0507,2.04145
0,-14.4,2.2,-1.25619,0.01821,-0.0514,2.476
0,-14.4,2.4,-1.25993,0.01774,-0.052,2.80841
0,-14.4,2.6,-1.26175,0.01734,-0.0526,3.16872
0,-14.4,3.2,-1.26342,0.01635,-0.0539,3.80147
0,-14.2,0.2,-0.893832,0.04393,-0.0732,1.87295
0,-14.2,0.4,-0.99772,0.03329,-0.0689,1.27229
0,-14.2,0.6,-1.07952,0.02816,-0.0651,0.519787
0,-14.2,0.8,-1.13416,0.02489,-0.0614,0.577418
0,-14.2,1,-1.17151,0.02296,-0.0585,0.886219
0,-14.2,1.2,-1.19709,0.02149,-0.0558,1.38045
0,-14.2,1.4,-1.21401,0.02045,-0.0535,1.87675
0,-14.2,1.6,-1.2254,0.01971,-0.0516,2.57815
0,-14.2,1.8,-1.23688,0.01896,-0.0503,2.94145
0,-14.2,2,-1.24055,0.0183,-0.0511,3.56325
0,-14.2,2.2,-1.24483,0.01775,-0.0517,3.9749
0,-14.2,2.4,-1.24747,0.01729,-0.0523,4.27722
0,-14.2,2.6,-1.24814,0.01689,-0.0528,4.57593
0,-14.2,3.2,-1.2478,0.01597,-0.054,5.09981
0,-14,0.2,-0.889795,0.04239,-0.0722,0.507327
0,-14,0.4,-0.99429,0.03228,-0.0678,0.731176
0,-14,0.6,-1.07717,0.02734,-0.0637,0.832334
0,-14,0.8,-1.13073,0.02423,-0.0598,1.37377
0,-14,1,-1.16643,0.0224,-0.0567,1.99742
0,-14,1.2,-1.18999,0.02098,-0.0538,2.64727
0,-14,1.4,-1.20505,0.01998,-0.0514,3.21442
0,-14,1.6,-1.21404,0.01924,-0.0497,3.88231
0,-14,1.8,-1.2242,0.0185,-0.0507,4.27954
0,-14,2,-1.22589,0.01785,-0.0514,4.79217
0,-14,2.2,-1.22878,0.01732,-0.052,5.17659
0,-14,2.4,-1.23041,0.01687,-0.0526,5.44763
0,-14,2.6,-1.23014,0.01647,-0.0531,5.69097
0,-14,3.2,-1.22815,0.01557,-0.0534,6.11568
0,-13.8,0.2,-0.889854,0.04091,-0.0711,-0.483353
0,-13.8,0.4,-0.992369,0.03128,-0.0665,0.401933
0,-13.8,0.6,-1.07367,0.02648,-0.062,1.1764
0,-13.8,0.8,-1.12466,0.02361,-0.058,2.08747
0,-13.8,1,-1.15776,0.02189,-0.0548,2.94406
0,-13.8,1.2,-1.17886,0.02051,-0.0517,3.70099
0,-13.8,1.4,-1.19185,0.01953,-0.049,4.31016
0,-13.8,1.6,-1.19859,0.01872,-0.0501,4.93548
0,-13.8,1.8,-1.20731,0.01806,-0.051,5.35068
0,-13.8,2,-1.20739,0.01743,-0.0517,5.76528
0,-13.8,2.2,-1.209,0.01691,-0.0523,6.11913
0,-13.8,2.4,-1.20974,0.01646,-0.0527,6.35829
0,-13.8,2.6,-1.2087,0.01607,-0.0528,6.55203
0,-13.8,3.2,-1.20539,0.01518,-0.0531,6.8867
0,-13.6,0.2,-0.892795,0.03951,-0.0698,-1.15222
0,-13.6,0.4,-0.991275,0.03032,-0.0651,0.252167
0,-13.6,0.6,-1.06893,0.02571,-0.0603,1.54307
0,-13.6,0.8,-1.11624,0.02303,-0.0561,2.72509
0,-13.6,1,-1.14604,0.02133,-0.0526,3.74426
0,-13.6,1.2,-1.16437,0.02007,-0.0494,4.56694
0,-13.6,1.4,-1.1752,0.01904,-0.0493,5.19384
0,-13.6,1.6,-1.17984,0.01823,-0.0504,5.76962
0,-13.6,1.8,-1.18711,0.01759,-0.0514,6.18934
0,-13.6,2,-1.1859,0.01703,-0.0521,6.51625
0,-13.6,2.2,-1.18632,0.01651,-0.0523,6.83711
0,-13.6,2.4,-1.18629,0.01607,-0.0524,7.04427
0,-13.6,2.6,-1.18465,0.01569,-0.0525,7.19376
0,-13.6,3.2,-1.18032,0.01482,-0.0529,7.44696
0,-13.4,0.2,-0.89758,0.03833,-0.0685,-1.54735
