delta,alpha,Re,Cl,Cd,Cm,Cl_alpha
0,-15,0.2,-0.832971,0.04922,-0.0964,-0.873923
0,-15,0.3,-0.876662,0.04166,-0.097,1.06054
0,-15,0.4,-0.908348,0.03758,-0.0971,1.75608
0,-15,0.5,-0.938782,0.03435,-0.097,2.31038
0,-15,0.6,-0.962075,0.03207,-0.0967,2.47049
0,-15,0.7,-0.984242,0.03001,-0.0963,2.91465
0,-15,0.8,-1.00306,0.02841,-0.0957,3.21466
0,-15,0.9,-1.01647,0.02726,-0.0954,3.21871
0,-15,1,-1.02896,0.02619,-0.0949,3.36458
0,-15,1.25,-1.05444,0.02415,-0.0937,3.63963
0,-15,1.5,-1.0717,0.02281,-0.0927,3.66499
0,-15,1.75,-1.08502,0.02176,-0.0919,3.67314
0,-15,2,-1.09704,0.02087,-0.0911,3.76396
0,-15,2.5,-1.11502,0.01959,-0.0897,3.76044
0,-15,3,-1.1274,0.01872,-0.0888,3.6589
0,-15,3.5,-1.13833,0.01797,-0.0877,3.66167
0,-15,4,-1.14782,0.01736,-0.0868,3.71139
0,-14.5,0.2,-0.835819,0.04479,-0.0953,0.185445
0,-14.5,0.3,-0.866001,0.03854,-0.0956,1.38723
0,-14.5,0.4,-0.893124,0.03476,-0.0954,1.76149
0,-14.5,0.5,-0.919735,0.03185,-0.095,2.09952
0,-14.5,0.6,-0.941803,0.02965,-0.0945,2.22399
0,-14.5,0.7,-0.960839,0.02797,-0.0939,2.50832
0,-14.5,0.8,-0.97742,0.02651,-0.0932,2.72565
0,-14.5,0.9,-0.990583,0.02537,-0.0925,2.77418
0,-14.5,1,-1.00192,0.02452,-0.0921,2.89475
0,-14.5,1.25,-1.0251,0.02269,-0.0907,3.14374
0,-14.5,1.5,-1.04183,0.02142,-0.0895,3.23252
0,-14.5,1.75,-1.05482,0.02053,-0.0887,3.29529
0,-14.5,2,-1.06597,0.01974,-0.0878,3.39933
0,-14.5,2.5,-1.08354,0.01853,-0.0863,3.48592
0,-14.5,3,-1.0963,0.0177,-0.0852,3.49194
0,-14.5,3.5,-1.10693,0.01709,-0.0843,3.55058
0,-14.5,4,-1.11591,0.01652,-0.0833,3.61552
0,-14,0.2,-0.830331,0.04111,-0.0935,1.03979
0,-14,0.3,-0.852423,0.03578,-0.0938,1.72373
0,-14,0.4,-0.877216,0.03224,-0.0934,1.90094
0,-14,0.5,-0.901513,0.02968,-0.0927,2.10472
0,-14,0.6,-0.922577,0.0276,-0.0919,2.21285
0,-14,0.7,-0.939617,0.02619,-0.0912,2.39417
0,-14,0.8,-0.954567,0.02486,-0.0904,2.55436
0,-14,0.9,-0.96718,0.02381,-0.0896,2.62935
0,-14,1,-0.977563,0.02297,-0.0889,2.72754
0,-14,1.25,-0.998714,0.02143,-0.0875,2.94409
0,-14,1.5,-1.01452,0.02023,-0.0862,3.06182
0,-14,1.75,-1.02684,0.01937,-0.0852,3.14874
0,-14,2,-1.03709,0.01873,-0.0844,3.25028
0,-14,2.5,-1.05369,0.01762,-0.0828,3.37771
0,-14,3,-1.06612,0.01682,-0.0816,3.4397
0,-14,3.5,-1.07613,0.01623,-0.0806,3.52003
0,-14,4,-1.08453,0.01577,-0.0798,3.5863
0,-13.5,0.2,-0.818201,0.03861,-0.0916,1.7118
0,-13.5,0.3,-0.835964,0.03338,-0.0916,2.04428
0,-13.5,0.4,-0.859737,0.03015,-0.091,2.11309
0,-13.5,0.5,-0.882621,0.02781,-0.0902,2.24118
0,-13.5,0.6,-0.902765,0.02588,-0.0891,2.34545
0,-13.5,0.7,-0.918518,0.02445,-0.0881,2.46503
0,-13.5,0.8,-0.932246,0.02343,-0.0873,2.58745
0,-13.5,0.9,-0.944138,0.02246,-0.0864,2.67614
0,-13.5,1,-0.953747,0.02168,-0.0856,2.75598
0,-13.5,1.25,-0.973153,0.02027,-0.0841,2.93962
0,-13.5,1.5,-0.987891,0.01921,-0.0828,3.06449
0,-13.5,1.75,-0.999412,0.01839,-0.0817,3.15663
0,-13.5,2,-1.00882,0.01776,-0.0808,3.24722
0,-13.5,2.5,-1.02426,0.01682,-0.0793,3.38451
0,-13.5,3,-1.03603,0.01606,-0.078,3.46896
0,-13.5,3.5,-1.04532,0.01549,-0.0769,3.55038
0,-13.5,4,-1.05316,0.01505,-0.076,3.61054
0,-13,0.2,-0.800913,0.03626,-0.0892,2.2262
0,-13,0.3,-0.816835,0.03132,-0.0891,2.33371
0,-13,0.4,-0.840251,0.0283,-0.0883,2.35505
0,-13,0.5,-0.862195,0.026,-0.0871,2.44767
0,-13,0.6,-0.881418,0.02439,-0.086,2.5554
0,-13,0.7,-0.896287,0.02305,-0.0848,2.64225
0,-13,0.8,-0.909059,0.02205,-0.0839,2.74122
0,-13,0.9,-0.920149,0.02129,-0.0832,2.83492
0,-13,1,-0.929125,0.02056,-0.0823,2.90086
0,-13,1.25,-0.947062,0.01921,-0.0806,3.05483
0,-13,1.5,-0.960727,0.01833,-0.0794,3.17431
0,-13,1.75,-0.971462,0.01754,-0.0782,3.26116
0,-13,2,-0.980144,0.01694,-0.0772,3.33747
0,-13,2.5,-0.994405,0.01607,-0.0757,3.467
0,-13,3,-1.00542,0.0154,-0.0744,3.5538
0,-13,3.5,-1.01404,0.01485,-0.0732,3.6255
0,-13,4,-1.02139,0.01441,-0.0723,3.67657
0,-12.5,0.2,-0.779732,0.034,-0.0864,2.60835
