delta_d,delta_f,alpha,Re,Cl,Cd,Cm,Cl_alpha
0.0,0.0,-15.0,0.2,-0.832971,0.04922,-0.0964,-0.873923
0.0,0.0,-15.0,0.3,-0.876662,0.04166,-0.097,1.06054
0.0,0.0,-15.0,0.4,-0.908348,0.03758,-0.0971,1.75608
0.0,0.0,-15.0,0.5,-0.938782,0.03435,-0.097,2.31038
0.0,0.0,-15.0,0.6,-0.962075,0.03207,-0.0967,2.47049
0.0,0.0,-15.0,0.7,-0.984242,0.03001,-0.0963,2.91465
0.0,0.0,-15.0,0.8,-1.00306,0.02841,-0.0957,3.21466
0.0,0.0,-15.0,0.9,-1.01647,0.02726,-0.0954,3.21871
0.0,0.0,-15.0,1.0,-1.02896,0.02619,-0.0949,3.36458
0.0,0.0,-15.0,1.25,-1.05444,0.02415,-0.0937,3.63963
0.0,0.0,-15.0,1.5,-1.0717,0.02281,-0.0927,3.66499
0.0,0.0,-15.0,1.75,-1.08502,0.02176,-0.0919,3.67314
0.0,0.0,-15.0,2.0,-1.09704,0.02087,-0.0911,3.76396
0.0,0.0,-15.0,2.5,-1.11502,0.01959,-0.0897,3.76044
0.0,0.0,-15.0,3.0,-1.1274,0.01872,-0.0888,3.6589
0.0,0.0,-15.0,3.5,-1.13833,0.01797,-0.0877,3.66167
0.0,0.0,-15.0,4.0,-1.14782,0.01736,-0.0868,3.71139
0.0,0.0,-14.5,0.2,-0.835819,0.04479,-0.0953,0.185445
0.0,0.0,-14.5,0.3,-0.866001,0.03854,-0.0956,1.38723
0.0,0.0,-14.5,0.4,-0.893124,0.03476,-0.0954,1.76149
0.0,0.0,-14.5,0.5,-0.919735,0.03185,-0.095,2.09952
0.0,0.0,-14.5,0.6,-0.941803,0.02965,-0.0945,2.22399
0.0,0.0,-14.5,0.7,-0.960839,0.02797,-0.0939,2.50832
0.0,0.0,-14.5,0.8,-0.97742,0.02651,-0.0932,2.72565
0.0,0.0,-14.5,0.9,-0.990583,0.02537,-0.0925,2.77418
0.0,0.0,-14.5,1.0,-1.00192,0.02452,-0.0921,2.89475
0.0,0.0,-14.5,1.25,-1.0251,0.02269,-0.0907,3.14374
0.0,0.0,-14.5,1.5,-1.04183,0.02142,-0.0895,3.23252
0.0,0.0,-14.5,1.75,-1.05482,0.02053,-0.0887,3.29529
0.0,0.0,-14.5,2.0,-1.06597,0.01974,-0.0878,3.39933
0.0,0.0,-14.5,2.5,-1.08354,0.01853,-0.0863,3.48592
0.0,0.0,-14.5,3.0,-1.0963,0.0177,-0.0852,3.49194
0.0,0.0,-14.5,3.5,-1.10693,0.01709,-0.0843,3.55058
0.0,0.0,-14.5,4.0,-1.11591,0.01652,-0.0833,3.61552
0.0,0.0,-14.0,0.2,-0.830331,0.04111,-0.0935,1.03979
0.0,0.0,-14.0,0.3,-0.852423,0.03578,-0.0938,1.72373
0.0,0.0,-14.0,0.4,-0.877216,0.03224,-0.0934,1.90094
0.0,0.0,-14.0,0.5,-0.901513,0.02968,-0.0927,2.10472
0.0,0.0,-14.0,0.6,-0.922577,0.0276,-0.0919,2.21285
0.0,0.0,-14.0,0.7,-0.939617,0.02619,-0.0912,2.39417
0.0,0.0,-14.0,0.8,-0.954567,0.02486,-0.0904,2.55436
0.0,0.0,-14.0,0.9,-0.96718,0.02381,-0.0896,2.62935
0.0,0.0,-14.0,1.0,-0.977563,0.02297,-0.0889,2.72754
0.0,0.0,-14.0,1.25,-0.998714,0.02143,-0.0875,2.94409
0.0,0.0,-14.0,1.5,-1.01452,0.02023,-0.0862,3.06182
0.0,0.0,-14.0,1.75,-1.02684,0.01937,-0.0852,3.14874
