delta_d,alpha,Re,Cl,Cd,Cm,Cl_alpha
0,-15,0.2,-0.832855,0.04922,-0.0964,-0.904713
0,-15,0.3,-0.876616,0.04166,-0.097,1.0495
0,-15,0.4,-0.908348,0.03758,-0.0971,1.75608
0,-15,0.5,-0.938788,0.03435,-0.097,2.3098
0,-15,0.6,-0.962075,0.03207,-0.0967,2.47049
0,-15,0.7,-0.984242,0.03001,-0.0963,2.91465
0,-15,0.8,-1.00304,0.02841,-0.0957,3.20903
0,-15,0.9,-1.01668,0.02726,-0.0954,3.26527
0,-15,1,-1.02896,0.02619,-0.0949,3.36458
0,-15,1.1,-1.03915,0.025374,-0.09442,3.4746
0,-15,1.2,-1.04935,0.024558,-0.09394,3.58462
0,-15,1.3,-1.05789,0.023882,-0.0935,3.6447
0,-15,1.4,-1.0648,0.023346,-0.0931,3.65484
0,-15,1.5,-1.0717,0.02281,-0.0927,3.66499
0,-15,1.6,-1.07703,0.02239,-0.09238,3.66825
0,-15,1.7,-1.08236,0.02197,-0.09206,3.67151
0,-15,1.8,-1.08742,0.021582,-0.09174,3.6913
0,-15,1.9,-1.09223,0.021226,-0.09142,3.72763
0,-15,2,-1.09704,0.02087,-0.0911,3.76396
0,-15,2.1,-1.10065,0.020614,-0.09082,3.76343
0,-15,2.2,-1.10426,0.020358,-0.09054,3.76291
0,-15,2.3,-1.10786,0.020102,-0.09026,3.76239
0,-15,2.4,-1.11147,0.019846,-0.08998,3.76186
0,-15,2.5,-1.11508,0.01959,-0.0897,3.76134
0,-15,2.6,-1.11754,0.019416,-0.08952,3.73787
0,-15,2.7,-1.11999,0.019242,-0.08934,3.7144
0,-15,2.8,-1.12245,0.019068,-0.08916,3.69093
0,-15,2.9,-1.12491,0.018894,-0.08898,3.66746
0,-15,3,-1.12736,0.01872,-0.0888,3.64399
0,-15,3.1,-1.12957,0.01857,-0.08858,3.65044
0,-15,3.2,-1.13177,0.01842,-0.08836,3.65689
0,-15,3.3,-1.13398,0.01827,-0.08814,3.66335
0,-15,3.4,-1.13618,0.01812,-0.08792,3.6698
0,-15,3.5,-1.13838,0.01797,-0.0877,3.67625
0,-15,3.6,-1.14027,0.017848,-0.08752,3.68328
0,-15,3.7,-1.14216,0.017726,-0.08734,3.69031
0,-15,3.8,-1.14405,0.017604,-0.08716,3.69733
0,-15,3.9,-1.14593,0.017482,-0.08698,3.70436
0,-15,4,-1.14782,0.01736,-0.0868,3.71139
0,-14.5,0.2,-0.835878,0.04479,-0.0953,0.174249
0,-14.5,0.3,-0.866024,0.03854,-0.0956,1.38227
0,-14.5,0.4,-0.893124,0.03476,-0.0954,1.76149
0,-14.5,0.5,-0.91974,0.03185,-0.095,2.10002
0,-14.5,0.6,-0.941803,0.02965,-0.0945,2.22399
0,-14.5,0.7,-0.960839,0.02797,-0.0939,2.50832
0,-14.5,0.8,-0.977434,0.02651,-0.0932,2.72421
0,-14.5,0.9,-0.990508,0.02537,-0.0925,2.79544
0,-14.5,1,-1.00192,0.02452,-0.0921,2.89475
0,-14.5,1.1,-1.01119,0.023788,-0.09154,2.99435
0,-14.5,1.2,-1.02047,0.023056,-0.09098,3.09394
0,-14.5,1.3,-1.02845,0.022436,-0.09046,3.16149
0,-14.5,1.4,-1.03514,0.021928,-0.08998,3.19701
0,-14.5,1.5,-1.04183,0.02142,-0.0895,3.23252
0,-14.5,1.6,-1.04703,0.021064,-0.08918,3.25763
0,-14.5,1.7,-1.05222,0.020708,-0.08886,3.28274
0,-14.5,1.8,-1.05705,0.020372,-0.08852,3.3161
0,-14.5,1.9,-1.06151,0.020056,-0.08816,3.35772
0,-14.5,2,-1.06597,0.01974,-0.0878,3.39933
0,-14.5,2.1,-1.06949,0.019498,-0.0875,3.41779
0,-14.5,2.2,-1.07301,0.019256,-0.0872,3.43625
0,-14.5,2.3,-1.07653,0.019014,-0.0869,3.45471
0,-14.5,2.4,-1.08005,0.018772,-0.0866,3.47317
0,-14.5,2.5,-1.08357,0.01853,-0.0863,3.49162
0,-14.5,2.6,-1.08612,0.018364,-0.08608,3.49096
0,-14.5,2.7,-1.08868,0.018198,-0.08586,3.49031
0,-14.5,2.8,-1.09123,0.018032,-0.08564,3.48965
0,-14.5,2.9,-1.09378,0.017866,-0.08542,3.48899
0,-14.5,3,-1.09634,0.0177,-0.0852,3.48833
0,-14.5,3.1,-1.09845,0.017578,-0.08502,3.50174
0,-14.5,3.2,-1.10056,0.017456,-0.08484,3.51515
0,-14.5,3.3,-1.10267,0.017334,-0.08466,3.52856
0,-14.5,3.4,-1.10479,0.017212,-0.08448,3.54197
0,-14.5,3.5,-1.1069,0.01709,-0.0843,3.55538
0,-14.5,3.6,-1.1087,0.016976,-0.0841,3.56741
0,-14.5,3.7,-1.1105,0.016862,-0.0839,3.57944
0,-14.5,3.8,-1.1123,0.016748,-0.0837,3.59147
0,-14.5,3.9,-1.11411,0.016634,-0.0835,3.60349
0,-14.5,4,-1.11591,0.01652,-0.0833,3.61552
0,-14,0.2,-0.830435,0.04111,-0.0935,1.03951
0,-14,0.3,-0.85247,0.03578,-0.0938,1.72282
0,-14,0.4,-0.877216,0.03224,-0.0934,1.90094
0,-14,0.5,-0.901512,0.02968,-0.0927,2.10549
0,-14,0.6,-0.922577,0.0276,-0.0919,2.21285
0,-14,0.7,-0.939617,0.02619,-0.0912,2.39417
0,-14,0.8,-0.954584,0.02486,-0.0904,2.55495
0,-14,0.9,-0.966997,0.02381,-0.0896,2.63412
0,-14,1,-0.977563,0.02297,-0.0889,2.72754
0,-14,1.1,-0.986023,0.022354,-0.08834,2.81416
0,-14,1.2,-0.994484,0.021738,-0.08778,2.90078
0,-14,1.3,-1.00188,0.02119,-0.08724,2.96764
0,-14,1.4,-1.0082,0.02071,-0.08672,3.01473
0,-14,1.5,-1.01452,0.02023,-0.0862,3.06182
0,-14,1.6,-1.01945,0.019886,-0.0858,3.09659
0,-14,1.7,-1.02437,0.019542,-0.0854,3.13135
0,-14,1.8,-1.02889,0.019242,-0.08504,3.16905
0,-14,1.9,-1.03299,0.018986,-0.08472,3.20966
0,-14,2,-1.03709,0.01873,-0.0844,3.25028
0,-14,2.1,-1.0404,0.018508,-0.08408,3.27699
0,-14,2.2,-1.04372,0.018286,-0.08376,3.30371
0,-14,2.3,-1.04704,0.018064,-0.08344,3.33043
0,-14,2.4,-1.05035,0.017842,-0.08312,3.35714
0,-14,2.5,-1.05367,0.01762,-0.0828,3.38386
0,-14,2.6,-1.05617,0.01746,-0.08256,3.39541
0,-14,2.7,-1.05867,0.0173,-0.08232,3.40696
0,-14,2.8,-1.06117,0.01714,-0.08208,3.41851
0,-14,2.9,-1.06367,0.01698,-0.08184,3.43007
0,-14,3,-1.06617,0.01682,-0.0816,3.44162
0,-14,3.1,-1.06815,0.016702,-0.0814,3.45719
0,-14,3.2,-1.07013,0.016584,-0.0812,3.47277
0,-14,3.3,-1.07212,0.016466,-0.081,3.48834
0,-14,3.4,-1.0741,0.016348,-0.0808,3.50392
0,-14,3.5,-1.07608,0.01623,-0.0806,3.51949
0,-14,3.6,-1.07777,0.016138,-0.08044,3.53286
0,-14,3.7,-1.07946,0.016046,-0.08028,3.54622
0,-14,3.8,-1.08115,0.015954,-0.08012,3.55958
0,-14,3.9,-1.08284,0.015862,-0.07996,3.57294
0,-14,4,-1.08453,0.01577,-0.0798,3.5863
0,-13.5,0.2,-0.818283,0.03861,-0.0916,1.71657
0,-13.5,0.3,-0.836007,0.03338,-0.0916,2.04585
0,-13.5,0.4,-0.859737,0.03015,-0.091,2.11309
0,-13.5,0.5,-0.882614,0.02781,-0.0902,2.24178
0,-13.5,0.6,-0.902765,0.02588,-0.0891,2.34545
0,-13.5,0.7,-0.918518,0.02445,-0.0881,2.46503
0,-13.5,0.8,-0.932254,0.02343,-0.0873,2.58873
0,-13.5,0.9,-0.94396,0.02246,-0.0864,2.67117
0,-13.5,1,-0.953747,0.02168,-0.0856,2.75598
0,-13.5,1.1,-0.961509,0.021116,-0.085,2.82944
0,-13.5,1.2,-0.969271,0.020552,-0.0844,2.9029
0,-13.5,1.3,-0.9761,0.020058,-0.08384,2.9646
0,-13.5,1.4,-0.981996,0.019634,-0.08332,3.01454
0,-13.5,1.5,-0.987891,0.01921,-0.0828,3.06449
0,-13.5,1.6,-0.992499,0.018882,-0.08236,3.10135
0,-13.5,1.7,-0.997108,0.018554,-0.08192,3.13821
0,-13.5,1.8,-1.00129,0.018264,-0.08152,3.17475
0,-13.5,1.9,-1.00506,0.018012,-0.08116,3.21099
0,-13.5,2,-1.00882,0.01776,-0.0808,3.24722
0,-13.5,2.1,-1.0119,0.017572,-0.0805,3.27552
